Table,Index,Properties,N,a,b,r,r2,F,p,Indicator,index_code
9,Hyper Zagreb Index HM(G),EV,12,44.454026797836704,0.0773886222467985,0.9539601239219794,0.9100399180332382,101.16041450134269,1.507652615653852e-06,Significant,HM
9,Hyper Zagreb Index HM(G),FP,12,51.95825935482719,0.3972015546130367,0.9161544463583086,0.8393389695820989,52.24284740355918,2.8312216427406103e-05,Significant,HM
9,Hyper Zagreb Index HM(G),MR,13,16.877185755601857,0.1241670182933797,0.9652227852955966,0.9316550252537892,149.9481902780257,9.445463286302183e-08,Significant,HM
9,Hyper Zagreb Index HM(G),MV,13,94.88589765904518,0.2791720729273803,0.8859626330844557,0.7849297872219418,40.1460878655077,5.5511899841302685e-05,Significant,HM
9,Hyper Zagreb Index HM(G),ST,13,39.96377137231116,0.0264458231141819,0.6412142189900624,0.4111556746350356,7.680658921493766,0.0181814066102609,Significant,HM
9,Hyper Zagreb Index HM(G),VP,12,0.0,0.0,,,,,Undefined,HM
10,Redefined Second Zagreb Index RM2(G),BP,12,260.9301965303117,6.752045323602842,0.9462517573730116,0.895392388331513,85.5953380495016,3.2267444548868846e-06,Significant,RM2
10,Redefined Second Zagreb Index RM2(G),EV,12,51.786870238781134,0.8464182830804686,0.9454400425948848,0.8938568741418176,84.2124129014344,3.4730693937118428e-06,Significant,RM2
10,Redefined Second Zagreb Index RM2(G),FP,12,91.55669611420528,4.308286921451892,0.9004471393295184,0.810805050726713,42.85553360917301,6.502248520098975e-05,Significant,RM2
10,Redefined Second Zagreb Index RM2(G),MR,13,28.589235770534984,1.3719558333099795,0.9444371520351886,0.891961534144338,90.81558866909363,1.1937824462479873e-06,Significant,RM2
10,Redefined Second Zagreb Index RM2(G),MV,13,125.53626376705996,3.0073396295154553,0.8451572674897418,0.7142908067907271,27.500686227281633,0.0002750733028142,Significant,RM2
10,Redefined Second Zagreb Index RM2(G),ST,13,42.02464198638007,0.2999719754504946,0.6440778409591176,0.4148362652145583,7.798157414921313,0.0175075059957614,Significant,RM2
10,Redefined Second Zagreb Index RM2(G),VP,12,0.0,0.0,,,,,Undefined,RM2
11,Forgotten Index F(G),BP,12,190.3240945066084,1.2222737728566415,0.9567477425756692,0.9153662429236388,108.15616304233606,1.1084778698270817e-06,Significant,F
11,Forgotten Index F(G),EV,12,43.16680736501475,0.1525774063213709,0.9519119689283384,0.906136396589026,96.53756766843726,1.8676953209469016e-06,Significant,F
11,Forgotten Index F(G),FP,12,44.83379058586473,0.7845551586088305,0.915871804992506,0.8388211631802311,52.042884768935636,2.877863740868494e-05,Significant,F
11,Forgotten Index F(G),MR,13,15.32784880151658,0.2428175323317299,0.96359353255547,0.9285124959827292,142.87304608288593,1.211205840574816e-07,Significant,F
11,Forgotten Index F(G),MV,13,90.61419222959066,0.5480705529957027,0.8879171095339309,0.7883967934030907,40.9840893571821,5.067367279153824e-05,Significant,F
11,Forgotten Index F(G),ST,13,39.69044788806508,0.0515636279000735,0.6382370965627296,0.407346591428823,7.560595182468967,0.0189023580395507,Significant,F
11,Forgotten Index F(G),VP,12,0.0,0.0,,,,,Undefined,F
12,Hyper Forgotten Index HF(G),BP,12,226.51958718596055,0.0848074212962955,0.937113132612045,0.8781810233139602,72.08901660512782,6.9659193542637154e-06,Significant,HF
12,Hyper Forgotten Index HF(G),EV,12,47.676925309506174,0.0105883047575595,0.932528696560093,0.8696097699080659,66.69286259368752,9.825883479509595e-06,Significant,HF
12,Hyper Forgotten Index HF(G),FP,12,69.29251714830122,0.0541780497070565,0.8928197471638997,0.7971271009258097,39.291946068868555,9.281599280329355e-05,Significant,HF
12,Hyper Forgotten Index HF(G),MR,13,22.90077979148846,0.0168089396555022,0.9365715083961912,0.8771661903395166,78.55189153869243,2.435107627982809e-06,Significant,HF
12,Hyper Forgotten Index HF(G),MV,13,110.8707648088313,0.037293893073476,0.8483214840931002,0.7196493403739199,28.236576131732086,0.0002471218087162,Significant,HF
12,Hyper Forgotten Index HF(G),ST,13,40.89464706572008,0.0036519666354411,0.6346761335115705,0.4028137944491968,7.419715488662972,0.0197924470138672,Significant,HF
12,Hyper Forgotten Index HF(G),VP,12,0.0,0.0,,,,,Undefined,HF
