index_code,index_title,index_symbol,property,equation,slope,intercept,n,R2,p_value
F,Forgotten Index F(G),F(G),MR,MR=15.3278 + 0.2428[F(G)],0.2428175323317299,15.32784880151658,13,0.9285124959827292,1.211205840574816e-07
F,Forgotten Index F(G),F(G),ST,ST=39.6904 + 0.0516[F(G)],0.0515636279000735,39.69044788806508,13,0.407346591428823,0.0189023580395507
F,Forgotten Index F(G),F(G),MV,MV=90.6142 + 0.5481[F(G)],0.5480705529957027,90.61419222959066,13,0.7883967934030907,5.067367279153824e-05
HF,Hyper Forgotten Index HF(G),HF(G),BP,BP=226.5196 + 0.0848[HF(G)],0.0848074212962955,226.51958718596055,12,0.8781810233139602,6.9659193542637154e-06
HF,Hyper Forgotten Index HF(G),HF(G),VP,VP=0.0000 + 0.0000[HF(G)],0.0,0.0,12,,
HF,Hyper Forgotten Index HF(G),HF(G),EV,EV=47.6769 + 0.0106[HF(G)],0.0105883047575595,47.676925309506174,12,0.8696097699080659,9.825883479509595e-06
HF,Hyper Forgotten Index HF(G),HF(G),FP,FP=69.2925 + 0.0542[HF(G)],0.0541780497070565,69.29251714830122,12,0.7971271009258097,9.281599280329355e-05
HF,Hyper Forgotten Index HF(G),HF(G),MR,MR=22.9008 + 0.0168[HF(G)],0.0168089396555022,22.90077979148846,13,0.8771661903395166,2.435107627982809e-06
HF,Hyper Forgotten Index HF(G),HF(G),ST,ST=40.8946 + 0.0037[HF(G)],0.0036519666354411,40.89464706572008,13,0.4028137944491968,0.0197924470138672
HF,Hyper Forgotten Index HF(G),HF(G),MV,MV=110.8708 + 0.0373[HF(G)],0.037293893073476,110.8707648088313,13,0.7196493403739199,0.0002471218087162
